"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2025","206.35","208.84","211.45","202.77","32.53M","-0.49%"
"01/28/2025","207.36","208.01","209.95","198.89","50.32M","2.59%"
"01/27/2025","202.13","213.40","218.43","196.23","90.57M","-17.40%"
"01/24/2025","244.70","244.70","249.59","241.91","25.39M","1.84%"
"01/23/2025","240.28","238.41","240.40","236.12","17.65M","-0.26%"
"01/22/2025","240.91","246.75","246.99","240.69","29.61M","0.25%"
"01/21/2025","240.31","241.50","242.75","237.40","30.90M","1.21%"
"01/17/2025","237.44","237.08","238.10","232.66","31.20M","3.50%"
"01/16/2025","229.41","235.22","238.60","229.21","23.47M","0.62%"
"01/15/2025","228.00","228.55","230.34","225.58","21.75M","1.47%"
"01/14/2025","224.70","226.57","230.26","223.10","18.14M","-0.26%"
"01/13/2025","225.29","219.99","229.26","219.51","23.77M","0.44%"
"01/10/2025","224.31","227.30","227.83","221.25","23.86M","-2.18%"
"01/08/2025","229.31","229.70","232.47","226.06","18.76M","0.29%"
"01/07/2025","228.64","239.50","239.50","227.60","25.93M","-3.29%"
"01/06/2025","236.41","236.50","241.75","233.30","34.03M","1.66%"
"01/03/2025","232.55","233.59","236.49","229.00","24.97M","0.25%"
"01/02/2025","231.98","236.15","239.50","230.24","31.53M","0.06%"
"12/31/2024","231.84","235.88","237.46","231.31","17.93M","-1.59%"
"12/30/2024","235.58","234.70","238.77","231.62","27.32M","-2.55%"
"12/27/2024","241.75","245.64","245.78","236.35","29.28M","-1.47%"
"12/26/2024","245.36","240.00","247.28","237.60","28.54M","2.37%"
"12/24/2024","239.68","240.12","240.23","234.80","22.83M","3.15%"
"12/23/2024","232.35","226.69","233.40","225.13","40.64M","5.24%"
"12/20/2024","220.79","220.36","230.29","218.91","131.91M","1.13%"
"12/19/2024","218.32","227.91","228.05","217.58","40.85M","-2.37%"
"12/18/2024","223.62","239.41","239.85","219.22","53.96M","-6.91%"
"12/17/2024","240.23","240.65","242.47","233.80","70.38M","-3.91%"
"12/16/2024","250.00","231.79","251.88","230.81","111.62M","11.21%"
"12/13/2024","224.80","213.90","228.70","211.11","121.34M","24.43%"
"12/12/2024","180.66","180.93","182.00","175.99","46.97M","-1.39%"
"12/11/2024","183.20","180.01","184.87","176.43","41.30M","6.63%"
"12/10/2024","171.81","177.81","178.50","169.73","27.76M","-3.98%"
"12/09/2024","178.94","178.95","180.79","176.02","20.89M","-0.33%"
"12/06/2024","179.53","170.10","180.68","169.33","27.83M","5.31%"
"12/05/2024","170.47","170.75","172.40","169.20","18.49M","-0.05%"
"12/04/2024","170.56","173.44","175.39","168.56","32.75M","1.43%"
"12/03/2024","168.15","164.48","168.27","164.03","17.02M","0.98%"
"12/02/2024","166.51","162.95","168.38","162.75","21.47M","2.73%"
"11/29/2024","162.08","159.57","162.69","159.08","11.02M","1.51%"
"11/27/2024","159.67","163.20","163.20","157.54","19.72M","-3.08%"
"11/26/2024","164.74","164.60","166.37","162.69","16.31M","-0.05%"
"11/25/2024","164.82","165.40","167.23","162.89","26.85M","0.36%"
"11/22/2024","164.23","164.30","164.91","162.40","17.33M","0.18%"
"11/21/2024","163.94","166.25","166.34","160.60","24.84M","0.42%"
"11/20/2024","163.25","165.54","165.54","160.86","17.20M","-1.27%"
"11/19/2024","165.35","166.66","166.80","164.31","18.00M","-0.19%"
"11/18/2024","165.67","165.66","166.35","162.22","17.87M","0.50%"
"11/15/2024","164.84","168.47","169.13","163.43","20.84M","-3.25%"
"11/14/2024","170.38","174.77","175.57","169.87","20.64M","-1.84%"
"11/13/2024","173.58","174.71","175.59","172.60","17.47M","-1.50%"
"11/12/2024","176.22","178.90","179.56","173.20","15.86M","-1.50%"
"11/11/2024","178.91","183.40","183.63","176.82","17.04M","-2.58%"
"11/08/2024","183.64","182.99","185.05","181.83","13.50M","-0.09%"
"11/07/2024","183.81","181.99","184.87","181.79","18.97M","2.37%"
"11/06/2024","179.55","179.63","180.21","175.96","24.30M","3.25%"
"11/05/2024","173.90","170.05","174.40","170.05","13.44M","3.17%"
"11/04/2024","168.55","169.28","172.45","168.42","13.62M","-0.22%"
"11/01/2024","168.92","168.26","171.33","167.50","17.85M","-0.50%"
"10/31/2024","169.77","174.45","174.45","167.38","26.09M","-3.89%"
"10/30/2024","176.64","177.47","179.19","175.62","17.91M","-1.45%"
"10/29/2024","179.24","172.43","180.23","171.21","23.70M","4.20%"
"10/28/2024","172.02","173.00","173.97","171.35","13.20M","-0.57%"
"10/25/2024","173.00","174.19","176.80","172.72","19.98M","0.96%"
"10/24/2024","171.35","174.26","174.30","169.50","20.49M","-1.24%"
"10/23/2024","173.51","177.59","178.98","172.57","19.51M","-3.27%"
"10/22/2024","179.38","178.66","180.69","177.41","12.06M","-0.34%"
"10/21/2024","179.99","179.38","181.72","178.25","13.70M","0.06%"
"10/18/2024","179.89","182.32","182.71","178.68","17.84M","-0.90%"
"10/17/2024","181.53","181.37","185.51","180.69","25.23M","2.66%"
