"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2025","19.75","19.87","20.08","19.66","86.51M","-0.25%"
"01/28/2025","19.80","20.34","20.34","19.74","73.41M","-2.41%"
"01/27/2025","20.29","20.81","21.06","20.14","83.58M","-2.59%"
"01/24/2025","20.83","21.36","21.41","20.75","66.30M","-3.43%"
"01/23/2025","21.57","21.69","21.75","21.35","55.78M","-1.33%"
"01/22/2025","21.86","21.73","22.28","21.57","60.97M","0.41%"
"01/21/2025","21.77","22.03","22.41","21.75","96.26M","1.30%"
"01/17/2025","21.49","21.26","21.62","20.79","166.48M","9.25%"
"01/16/2025","19.67","19.75","19.95","19.40","44.90M","-0.25%"
"01/15/2025","19.72","19.40","19.77","19.17","56.31M","2.71%"
"01/14/2025","19.20","19.36","19.52","18.82","47.15M","0.00%"
"01/13/2025","19.20","18.92","19.25","18.73","50.67M","0.26%"
"01/10/2025","19.15","19.66","19.66","18.91","71.24M","-3.67%"
"01/08/2025","19.88","19.83","20.12","19.71","47.90M","-0.65%"
"01/07/2025","20.01","20.02","20.34","19.90","61.73M","0.70%"
"01/06/2025","19.87","20.83","20.98","19.78","83.27M","-3.36%"
"01/03/2025","20.56","20.39","20.67","20.06","48.98M","1.68%"
"01/02/2025","20.22","20.23","20.43","20.00","46.44M","0.85%"
"12/31/2024","20.05","19.99","20.40","19.88","49.85M","1.16%"
"12/30/2024","19.82","20.01","20.11","19.73","59.61M","-2.36%"
"12/27/2024","20.30","20.21","20.60","20.09","48.26M","-0.68%"
"12/26/2024","20.44","20.23","20.67","20.08","39.95M","0.20%"
"12/24/2024","20.40","20.22","20.40","19.96","29.88M","0.99%"
"12/23/2024","20.20","19.58","20.23","19.52","57.99M","3.48%"
"12/20/2024","19.52","18.97","19.76","18.90","108.45M","2.41%"
"12/19/2024","19.06","19.53","19.69","19.03","69.12M","-1.24%"
"12/18/2024","19.30","20.48","20.58","19.21","86.04M","-5.58%"
"12/17/2024","20.44","20.64","20.77","20.29","51.77M","-1.87%"
"12/16/2024","20.83","20.17","21.10","20.00","73.83M","2.41%"
"12/13/2024","20.34","20.60","20.80","20.25","55.10M","-2.12%"
"12/12/2024","20.78","20.02","20.90","19.92","77.70M","3.28%"
"12/11/2024","20.12","20.14","20.25","19.87","75.21M","-0.20%"
"12/10/2024","20.16","20.83","20.86","19.96","90.01M","-3.12%"
"12/09/2024","20.81","20.92","21.06","20.73","68.82M","-0.53%"
"12/06/2024","20.92","20.95","21.05","20.66","78.54M","0.58%"
"12/05/2024","20.80","22.04","22.19","20.66","167.99M","-5.28%"
"12/04/2024","21.96","22.53","22.54","21.81","104.65M","-2.27%"
"12/03/2024","22.47","23.68","23.75","22.44","138.16M","-6.10%"
"12/02/2024","23.93","24.84","25.48","23.44","150.50M","-0.50%"
"11/29/2024","24.05","23.72","24.28","23.60","36.62M","1.69%"
"11/27/2024","23.65","23.83","23.93","23.06","53.99M","-1.66%"
"11/26/2024","24.05","24.95","24.99","23.81","69.61M","-3.30%"
"11/25/2024","24.87","25.04","25.57","24.76","91.13M","1.51%"
"11/22/2024","24.50","24.35","24.68","24.14","36.79M","0.25%"
"11/21/2024","24.44","24.08","24.77","23.83","58.93M","1.79%"
"11/20/2024","24.01","24.07","24.21","23.55","50.19M","-0.79%"
"11/19/2024","24.20","24.50","24.54","24.09","61.19M","-2.58%"
"11/18/2024","24.84","24.33","25.02","24.16","59.67M","2.01%"
"11/15/2024","24.35","24.81","24.82","24.23","55.11M","-2.72%"
"11/14/2024","25.03","25.12","25.61","24.93","49.25M","0.44%"
"11/13/2024","24.92","24.06","25.14","24.02","58.20M","3.15%"
"11/12/2024","24.16","24.66","24.96","23.89","62.54M","-3.55%"
"11/11/2024","25.05","25.96","26.29","24.83","80.19M","-4.39%"
